ID_Empresa;RazaoSocial
125;Ã?Âgua e Seco Lavanderias  Ltda
298;Ac.  Moura ( * Encontra-se em trÃ¢nsito)
273;Acergy Brasil S/A
286;Acergy Brasil S/A - ACCO
292;Acergy Brasil S/A - ACHA
134;Acergy Brasil S/A - Base
296;Acergy Brasil S/A - Base Rio
329;Acergy Brasil S/A - CONDOR
327;Acergy Brasil S/A - Discovery
530;Acergy Brasil S/A - Escritório RJ
194;Acergy Brasil S/A - N . Borg
385;Acergy Brasil S/A - N. MERMAID
338;Acergy Brasil S/A - PERTINACIA
396;Acergy Brasil S/A - POLAR QUEEN
402;Acergy Brasil S/A - POLAR QUEEN
168;Acergy Brasil S/A - Seco
167;Acergy Brasil S/A - Seha
546;Acergy Brasil S/A - Seven Mar
337;Acergy Brasil S/A - T. CONQUEROR
250;Acergy Brasil S/A - T. Conqueror
270;Aces AluguÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±is de Caixas Eq.
297;Acumuladores Moura S/A
432;AeroleoTaxi Aereoeo S/A
35;Aggreko Brasil Energia Ltda
459;Aguas de Niteroi LTDA.
36;Aker Kverner Oil & Gas do Brasil Ltda
1;Alphatec Engenharia e Inspeção S/A
398;Alphatec Engenharia e Inspeção S/A - Área III Ri
300;Alphatec Engenharia e Inspeçao S/A - Industrial
49;Ambicontrol Serviços e Representantes Ltda
51;Apliquim Equipamentos e Produtos
348;Arcoenge Ltda
3;Aterro Sanitario Munic. de Macae
64;Azevedo e Marques Ltda - ME  - Limpa Fossa
75;B.J. Services do Brasil Ltda
395;Baker Hughes Centrilift
314;Baker Hughes do Brasil Ltda  - NS 09
301;Baker Hughes do Brasil Ltda  - NS 17
218;Baker Hughes do Brasil Ltda  - NS 18
124;Baker Hughes do Brasil Ltda - Atlas
38;Baker Hughes do Brasil Ltda - BOT
117;Baker Hughes do Brasil Ltda - Inteq Die
394;Baker Hughes do Brasil Ltda - NS 23
219;Baker Hughes do Brasil Ltda - P-09
220;Baker Hughes do Brasil Ltda - P-10
287;Baker Hughes do Brasil Ltda - P-16
288;Baker Hughes do Brasil Ltda - P-17
255;Baker Hughes do Brasil Ltda - PCH 1
221;Baker Hughes do Brasil Ltda - PCH 2
240;Baker Hughes do Brasil Ltda - PCP 1
315;Baker Hughes do Brasil Ltda - PCP 2
107;Baker Hughes do Brasil Ltda - Petrolit
362;Baker Hughes do Brasil Ltda - PNA 1
