ID_Empresa;RazaoSocial;CNPJ
125;"Ã?Âgua e Seco Lavanderias  Ltda";NULL
298;"Ac.  Moura ( * Encontra-se em trÃ¢nsito)";NULL
273;"Acergy Brasil S/A";42153155000108
286;"Acergy Brasil S/A - ACCO";NULL
292;"Acergy Brasil S/A - ACHA";NULL
134;"Acergy Brasil S/A - Base";42153155000108
296;"Acergy Brasil S/A - Base Rio";NULL
329;"Acergy Brasil S/A - CONDOR";NULL
327;"Acergy Brasil S/A - Discovery";42153155000108
530;"Acergy Brasil S/A - Escritório RJ";42153155000108
194;"Acergy Brasil S/A - N . Borg";NULL
385;"Acergy Brasil S/A - N. MERMAID";NULL
338;"Acergy Brasil S/A - PERTINACIA";NULL
402;"Acergy Brasil S/A - POLAR QUEEN";42153155000108
396;"Acergy Brasil S/A - POLAR QUEEN";42153155000108
168;"Acergy Brasil S/A - Seco";NULL
167;"Acergy Brasil S/A - Seha";NULL
546;"Acergy Brasil S/A - Seven Mar";42153155000108
250;"Acergy Brasil S/A - T. Conqueror";NULL
337;"Acergy Brasil S/A - T. CONQUEROR";NULL
636;"Acergy Brasil S/A Seven Phoenix";42153155000108
270;"Aces AluguÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±is de Caixas Eq.";04952975000170
297;"Acumuladores Moura S/A";098116540004-12
432;"AeroleoTaxi Aereoeo S/A";15209117000742
35;"Aggreko Brasil Energia Ltda";05298881000192
459;"Aguas de Niteroi LTDA.";NULL
36;"Aker Kverner Oil & Gas do Brasil Ltda";NULL
1;"Alphatec Engenharia e Inspeção S/A";05928067000104
398;"Alphatec Engenharia e Inspeção S/A - Área III Ri";05928067000104
300;"Alphatec Engenharia e Inspeçao S/A - Industrial";05928067000104
49;"Ambicontrol Serviços e Representantes Ltda";NULL
51;"Apliquim Equipamentos e Produtos";NULL
348;"Arcoenge Ltda";03324817000103
3;"Aterro Sanitario Munic. de Macae";NULL
64;"Azevedo e Marques Ltda - ME  - Limpa Fossa";NULL
75;"B.J. Services do Brasil Ltda";NULL
395;"Baker Hughes Centrilift";42087254/0006-4
314;"Baker Hughes do Brasil Ltda  - NS 09";NULL
301;"Baker Hughes do Brasil Ltda  - NS 17";NULL
218;"Baker Hughes do Brasil Ltda  - NS 18";NULL
124;"Baker Hughes do Brasil Ltda - Atlas";NULL
38;"Baker Hughes do Brasil Ltda - BOT";42087254000643
117;"Baker Hughes do Brasil Ltda - Inteq Die";42087254000643
394;"Baker Hughes do Brasil Ltda - NS 23";42087254001453
219;"Baker Hughes do Brasil Ltda - P-09";NULL
220;"Baker Hughes do Brasil Ltda - P-10";NULL
287;"Baker Hughes do Brasil Ltda - P-16";NULL
288;"Baker Hughes do Brasil Ltda - P-17";NULL
255;"Baker Hughes do Brasil Ltda - PCH 1";NULL
221;"Baker Hughes do Brasil Ltda - PCH 2";NULL
240;"Baker Hughes do Brasil Ltda - PCP 1";NULL
315;"Baker Hughes do Brasil Ltda - PCP 2";NULL
107;"Baker Hughes do Brasil Ltda - Petrolit";NULL
362;"Baker Hughes do Brasil Ltda - PNA 1";NULL
222;"Baker Hughes do Brasil Ltda - PNA 2";NULL
358;"Baker Hughes do Brasil Ltda - PPG1";NULL
223;"Baker Hughes do Brasil Ltda - PPM 1";NULL
289;"Baker Hughes do Brasil Ltda - PVM 3";NULL
400;"Baker Hughes do Brasil Ltda - SC77(BARRA DO FURADO";NULL
415;"Baker Hughes do Brasil Ltda - SPT60";NULL
242;"Baker Hughes do Brasil Ltda - SS 45";NULL
228;"Baker Hughes do Brasil Ltda - SS 50";NULL
224;"Baker Hughes do Brasil Ltda - SS 55";NULL
302;"Baker Hughes do Brasil Ltda - SS 56";NULL
293;"Baker Hughes do Brasil Ltda - SS62";NULL
37;"Baker Hughes do Brasil Ltda -Div. Drilling Fluids";42087254001453
496;"BCH Energy do Brasil Servicos de Petroleo Ltda.";NULL
363;"BELOV ENGENHARIA LTDA";15630064000577
4;"BHS - Brazilian Helicopter Services";NULL
578;"Blaspint Pintura Industrial Ltda";02460761000232
5;"Blasting Pintura Industrial Ltda";02460761000232
229;"Bos Navegaçao  S/A -  Turmalina";NULL
197;"Bos Navegaçao  S/A - Amazonia";NULL
155;"Bos Navegaçao  S/A - Far Centurion";02873339000180
230;"Bos Navegaçao  S/A - Far Sailor";02873539000180
172;"Bos Navegaçao  S/A - Far Santana";02873539000180
173;"Bos Navegaçao  S/A - Far Senior";02873539000180
170;"Bos Navegacao  S/A - Far Sleipner";02873539000180
234;"Bos Navegaçao  S/A - Sealion Amazonia";NULL
231;"Bos Navegaçao  S/A - Toisa Tiger";02873539000180
104;"Bos Navegaçao  S/A B. Topazio";NULL
381;"Bos Navegaçao  S/A FAR SWIFT";02873539000180
376;"Bos Navegaçao  S/A TOISA VOYAGER";02873539000180
275;"Bos Navegaçao S/A";02873539000180
475;"Bos Navegaçao S/A   Far Scout";02873539000180
499;"Bos Navegaçao S/A  Far Supporter";02873539000180
526;"Bos Navegaçao S/A -  Far Sabre";02873539000180
520;"Bos Navegaçao S/A -  Far Sagaris";02873539000180
208;"Bos Navegaçao S/A - Base";02873539000180
320;"Bos Navegaçao S/A - Bos Turquesa";02873539000180
158;"Bos Navegaçao S/A - Far Crusader";02873539000180
157;"Bos Navegaçao S/A - Far Sea";02873539000180
159;"Bos Navegaçao S/A - T. Sentinel";02873539000180
156;"Bos Navegaçao S/A - Toisa Conqueror";02873539000180
533;"Bos Navegaçao S/A Far Sovereign";02873539000180
171;"Bos Navegaço   S/A - Far Viscount";02873539000180
285;"Brasdril Sociedade de Perf. Ltda";42101311000782
443;"Brasdril Sociedade de Perf. Ltda  Ocean Quest";42101311000782
504;"Brasdril Sociedade de Perf. Ltda  Ocean Star";42101311000782
225;"Brasdril Sociedade de Perf. Ltda - Area III";NULL
105;"Brasdril Sociedade de Perf. Ltda - Base";42101311000782
137;"Brasdril Sociedade de Perf. Ltda - NS 21";NULL
615;"Brasdril Sociedade de Perf. Ltda - O. Lexington";NULL
487;"Brasdril Sociedade de Perf. Ltda - Ocean Ambassado";NULL
515;"Brasdril Sociedade de Perf. Ltda - Ocean Baroness";NULL
596;"Brasdril Sociedade de Perf. Ltda - Ocean Courage";42101311000782
506;"Brasdril Sociedade de Perf. Ltda - Ocean Valor";42101311000782
138;"Brasdril Sociedade de Perf. Ltda - SS 37";NULL
411;"Brasdril Sociedade de Perf. Ltda - SS 40";NULL
377;"Brasdril Sociedade de Perf. Ltda - SS 43";42101311000782
364;"Brasdril Sociedade de Perf. Ltda - SS 52";NULL
139;"Brasdril Sociedade de Perf. Ltda - SS 54";NULL
140;"Brasdril Sociedade de Perf. Ltda - SS 55";NULL
412;"Brasdril Sociedade de Perf. Ltda - SS 56";NULL
326;"Brasdril Sociedade de Perf. Ltda - SS 57";NULL
393;"Brasdril Sociedade de Perf. Ltda - SS 62";42101311000782
379;"Brasdril Sociedade de Perf. Ltda - SS 64";42101311000782
431;"Brasdril Sociedade de Perf. Ltda - SS 67 Worker";42101311000782
478;"Brasdril Sociedade de Perf. Ltda - SS40 O.Yorktown";NULL
516;"Brasdril Sociedade de Perf. Ltda - SS64 O. Concord";42101311000782
121;"Brasflex Tubos Flexiveis Ltda";29505864000570
254;"Brasflex Tubos Flexiveis Ltda - Sunrise 2000";NULL
110;"Brasil Recicle Ltda";NULL
7;"Brasitest LTDA";48762942000486
290;"Brasitest Ltda";NULL
74;"Brasquip Eng. Inst. Serv. e Repres. Ltda";NULL
39;"Brastech Serv. Tec. e Const. Nauticas Ltda";30509236000380
241;"Brastech Serviços Tec. de Petroleo Ltda";NULL
8;"BSM Engenharia S/A";34078154000109
10;"Cameron do Brasil Ltda";01505705000315
544;"Cameron do Brasil Ltda Galpão Novo Cavaleiros";01505705000315
555;"Cartuchos Express Ltda.";000000000000000
489;"Cedae - Estaçao Alegria";NULL
118;"Cedae - Estaçao Alegria (4° via entregue)";NULL
248;"Central de Tratamento de Residuos";NULL
133;"Ceramica Ki - Joinha Ltda - ME";NULL
53;"Ceramica Marajo Ltda";NULL
470;"Ceramica Marajo Ltda (4ª via entregue)";NULL
545;"Cerâmica União Sudeste LTDA";xxxxxxxxxxxxxxx
562;"Cerâmica União Sudeste LTDA - (4ª via entregue)";xxxxxxxxxxxxxxx
405;"Cetco Serviços de Petroleo.";08470309000238
40;"Churrascaria Belser Ltda";NULL
66;"Cipame Com. e Ind. de Papeis e Metais";NULL
41;"Cis do Brasil Ltda";03389993000123
434;"Clean Quimica LTDA";NULL
467;"CN2 Transportes Rodoviários de Cargas LTDA.";NULL
427;"Condominio Plaza Macae Ltda.";0893192100080
42;"Conduto Companhia Nacional de Dutos";NULL
129;"Consorcio PCP - ENGEVIX";05521049000103
43;"Construtora Norberto Odebrecht S/A";15102288000859
456;"Construtora Zadar LTDA (4ª via entregue)";NULL
453;"Construtora Zadar LTDA.";NULL
52;"CRR Centro de Recicl. Rio Ltda";NULL
457;"CRR Centro de Recicl. Rio Ltda (4ª via entregue)";NULL
44;"Dawnstec Power Ltda";NULL
102;"Delba Maritima Navegaçao S/A";NULL
458;"Desentupidora Guanabara LTDA.";NULL
392;"Desmont Foxtrot Ltda";NULL
564;"E. L. GONÇALVES TRANSPORTES - ME";NULL
332;"El Paso oleo e Gas do Brasil Ltda";02857854000203
428;"Elasa Elo Alimentaçao S/A";NULL
430;"Elasa Elo Alimentaçao S/A   Base Alimenta";NULL
