ID_Empresa;RazaoSocial;ID_Classificacao;Endereco;Municipio;UF;Telefone;NumLicencaFEEMA;ValorContrato;ValorTonelada;FlagRelContaminado;FlagRelReciclavel;FlagRelSucata;TipoResumoGeral;Responsavel;Obs;ID_Fantasia;CEP;CNPJ;InscEstado;InscMunic;Email;TelefoneII
1;"Alphatec Engenharia e Inspeção S/A";1;"R. W-Dois, 176 Lote 15 Lagomar";Macae;RJ;(22)27730009;NULL;2500.00;440.00;F;F;F;0;"Sra. Luziane Ribeiro";...;6;NULL;05928067000104;77659854;NULL;NULL;NULL
2;"Prestadora de Serviços Irmaos Ribeiro Lt";2;"Av. Presidente Kennedy, S/N Lote 332 Parte Lote 15";"Belford Roxo";RJ;(21)36626724;026/2000;NULL;NULL;F;F;F;0;"Sr. Carlos Alberto Macedo";NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
3;"Aterro Sanitario Munic. de Macae";3;"Rodovia Amaral Peixoto Km 188 - Cabiunas";Macae;RJ;();NULL;NULL;NULL;F;F;F;0;"Sr. Jorge Ramon Arcangelo";NULL;9;NULL;NULL;NULL;NULL;NULL;NULL
4;"BHS - Brazilian Helicopter Services";1;"Av. Antonio C.J. de Moraes S/N - Parque Aeroporto";Macae;RJ;"(22) 27621256";NULL;NULL;NULL;F;F;F;0;"SrÂª  Elaine C. Gomes";NULL;15;NULL;NULL;NULL;NULL;NULL;NULL
5;"Blasting Pintura Industrial Ltda";1;"Rod. Amaral Peixoto, 4885 Km 183,5 - Barreto";Macae;RJ;(22)27595824;NULL;NULL;NULL;F;F;F;1;"Sr° Carlos Alberto Barbieiro";NULL;16;NULL;02460761000232;77211020;NULL;NULL;NULL
7;"Brasitest LTDA";1;"Av. Hildebrando A. Barbosa, 3700 - Novo Cavaleiros";Macae;RJ;(22)2773-0220;NULL;NULL;NULL;F;F;F;0;"Sr. Dario Simao";NULL;30;NULL;48762942000486;83458526;NULL;NULL;NULL
8;"BSM Engenharia S/A";1;"Rua S-3 Lote 21 - Novo Cavaleiros";MacaÃ?Â©;RJ;(22)2765-4777;NULL;NULL;NULL;F;F;F;0;"SrÃ?Âª. Michelli Marcondes Varella";NULL;32;NULL;34078154000109;77110488;NULL;NULL;NULL
10;"Cameron do Brasil Ltda";1;"Rod. Amaral Peixoto, 8000  - KM 164,5 - Imboassica";Macae;RJ;(22)27636331;NULL;NULL;NULL;F;F;F;1;"Sr° Gustavo Manhães";...;141;NULL;01505705000315;86326982;NULL;NULL;NULL
11;"Frank's International do Brasil Ltda";1;"Rodivia Amaral Peixoto KM 164,5 s/n-Imboassica";Macae;RJ;(22)27634250;NULL;NULL;NULL;F;F;F;1;"Sr°  Bruno de Souza";...;37;NULL;03945240000157;77118845;NULL;NULL;NULL
12;"Fugro Geosolutions (Brasil) Serv. de Levant. Ltda";1;"Av. Pref. Aristeu F. Silva,1205 - N. Cavaleiros";Macae;RJ;"(22) 27733544";NULL;NULL;NULL;F;F;F;1;"SrÂª Vanessa Ribeiro";...;28;NULL;42140699000216;86290936;NULL;NULL;NULL
13;"Georesearch  do Brasil Ltda";1;"Rod. Amaral Peixoto, 3875 - KM 179 - Barreto";Macae;RJ;(22)27919250;NULL;NULL;NULL;F;F;F;0;"Srª  Simone Silvestri";...;38;NULL;03722323000187;0162909;NULL;NULL;NULL
14;"J.C. Fragoso Reparos - ME";1;"Fazenda Sao JoseÂ­ do Mutum S/N - Imboassica";Macae;RJ;(22)27620750;NULL;NULL;NULL;F;F;F;0;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
15;"Maersk Brasil ( Brasmar ) Ltda";1;"Rua Jesus Soares Pereira, 477 - Costa do Sol";MacaÃ?Â©;RJ;(22)27634200;NULL;NULL;NULL;F;F;F;1;;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
16;"Mendes Jr. Trad. e Engenharia S/A";1;"Estrada do Imburo KM 06 - Sitio Sao Jose";Macae;RJ;(22)27919524;NULL;NULL;NULL;F;F;F;1;"Eng. Raimundo de Assis Lima Junior";NULL;19;NULL;19394808002091;76100500;NULL;NULL;NULL
17;"M-I Swaco  Brasil-Com., Serv.e  Min. Ltda";1;"Rua Jesus Soares Pereira, 507 - Costa do Sol";Macae;RJ;(22)27726717;NULL;2800.00;440.00;F;F;F;1;"Sr. GUILLERMO DANIEL MAYORGA";...;39;NULL;15185358000456;78050926;NULL;NULL;NULL
18;"Noble do Brasil S/C Ltda - Base";1;"Rua Alameda do Açude, 175 - Novo Cavaleiros";Macae;RJ;(22)27730101;NULL;NULL;NULL;F;F;F;0;"Sra. Paula Salles / Marcele Meireles";NULL;10;NULL;40330078000199;10000890;NULL;NULL;NULL
19;"Petrometal Engenharia Ltda";1;"R. Acad. Paulo S. Vasconcelos, 200 G. Cavaleiros";Macae;RJ;"(22) 27919004";NULL;NULL;NULL;F;F;F;1;"Sra. Valeria Nunes";NULL;60;NULL;36292449000118;84256862;NULL;NULL;NULL
20;"Petroserv S.A.";1;"Estrada de Imboassica, 853 - Parte - Imboassica";Macae;RJ;(22)27919900;NULL;NULL;NULL;F;F;F;0;"Eng. Orlando Ricardo Villela";...;41;NULL;30508345000200;85769359;NULL;NULL;NULL
21;"Pride do Brasil Serv. Petroleo Ltda - BASE";1;"Rua Internacional, 1000 - G. dos Cavaleiros";Macae;RJ;(22)27918100;NULL;NULL;NULL;F;F;F;0;"Sra.  Veronica Rocha";...;20;NULL;04336088000178;10008212;NULL;NULL;NULL
22;"Q & B Serviços Ltda";1;"Est. Asfaltada do PQ.de tubos da PetrobrÃ?Â?Ã?Â¡s,949 - Imb.";Macae;RJ;(22)2105-4100;NULL;NULL;NULL;F;F;F;1;"Sr. Alexandre Conde Sangenis";NULL;43;NULL;NULL;NULL;NULL;NULL;NULL
24;"SBM do Brasil Ltda";1;"R. Jose de Aguiar Franco, 327 - Costa do Sol";Macae;RJ;(22)27739400;NULL;NULL;NULL;F;F;F;0;"Sr. Patrick Bogue.";NULL;22;NULL;01662868000110;76117462;NULL;NULL;NULL
25;"SBM Serviços Ltda";1;"Rua Jose de Aguiar Franco, 327 - Costa do Sol";Macae;RJ;(22);NULL;NULL;NULL;F;F;F;0;"Sr. Patrick Bogue.";NULL;46;NULL;05009889000191;77596543;NULL;NULL;NULL
26;"SBM Operaçoes S/C Ltda";1;"Rua Jose de Aguiar Franco, 327 - Costa do Sol";Macae;RJ;(22)27739400;NULL;NULL;NULL;F;F;F;0;"Sr. Patrick Bogue.";...;45;NULL;04808261000193;Isento;NULL;NULL;NULL
27;"Schahin Engenharia Ltda";1;"R. Acad. Paulo S. Vasconcelos, 704 - G. dos Cav.";Macae;RJ;(22)27739327;NULL;NULL;NULL;T;T;T;1;"Srª  Katarina de Souza";NULL;23;NULL;61226890000904;83567023;NULL;NULL;NULL
28;"Stolt Offshore S/A - Base";1;"Av. Pref.Aristeu F. Silva, 1661 - N. Cavaleiros";MacaÃ?Â©;RJ;(22)27739964;NULL;NULL;NULL;F;F;F;0;"Eng JosÃ?Â© Alves de AssumpÃ?Â?Ã?ÂÃ?Â?Ã?Âª";NULL;0;NULL;NULL;NULL;NULL;NULL;NULL
31;"Varco International  Brasil Eq. Serv. Ltda _1";1;"Rod. Amaral Peixoto Km 164,5 - Imboassica";MacaÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±;RJ;(22)27730600;NULL;NULL;NULL;F;F;F;1;"SrÃ?Â?Ã?Â¡Ã?Â?Ã?Â«. Wanderson Lyrio Bermudes";NULL;58;NULL;NULL;NULL;NULL;NULL;NULL
32;"UNAP Uniao Nacional de Perfuraçao L";1;"Av. Pref. Aristeu F. Silva, 2185 - Novo Cavaleiros";Macae;RJ;(22)27636100;NULL;NULL;NULL;F;F;F;0;"Srª  Cassiana Porto";NULL;54;NULL;15676893000329;77118071;NULL;NULL;NULL
33;"Ventura Petroleo S.A. - Base";1;"Estrada de Imboassica, 853 - Parte - Imboassica";Macae;RJ;(22)27919900;NULL;NULL;NULL;F;F;F;0;"Eng. Orlando Ricardo Villela";...;29;27937300;01785706000179;85769359;NULL;NULL;NULL
