ID_Empresa;RazaoSocial;Total;
298;Ac.  Moura ( * Encontra-se em trÃ¢nsito);0;
273;Acergy Brasil S/A;678;
286;Acergy Brasil S/A - ACCO;1445;
292;Acergy Brasil S/A - ACHA;1503;
134;Acergy Brasil S/A - Base;321;
296;Acergy Brasil S/A - Base Rio;4;
329;Acergy Brasil S/A - CONDOR;17;
327;Acergy Brasil S/A - Discovery;282;
530;Acergy Brasil S/A - Escritório RJ;41;
194;Acergy Brasil S/A - N . Borg;31;
385;Acergy Brasil S/A - N. MERMAID;6;
338;Acergy Brasil S/A - PERTINACIA;1115;
396;Acergy Brasil S/A - POLAR QUEEN;317;
402;Acergy Brasil S/A - POLAR QUEEN;50;
168;Acergy Brasil S/A - Seco;131;
167;Acergy Brasil S/A - Seha;142;
546;Acergy Brasil S/A - Seven Mar;254;
250;Acergy Brasil S/A - T. Conqueror;33;
337;Acergy Brasil S/A - T. CONQUEROR;0;
636;Acergy Brasil S/A Seven Phoenix;13;6383
270;Aces AluguÃ?Â?Ã?ÂÃ?Â?Ã?Â«Ã?Â?Ã?Â±is de Caixas Eq.;3;
297;Acumuladores Moura S/A;0;
432;AeroleoTaxi Aereoeo S/A;434;
125;Ã?Âgua e Seco Lavanderias  Ltda;1;
35;Aggreko Brasil Energia Ltda;20;
459;Aguas de Niteroi LTDA.;0;
36;Aker Kverner Oil & Gas do Brasil Ltda;1;
1;Alphatec Engenharia e Inspeção S/A;792;
398;Alphatec Engenharia e Inspeção S/A - Área III Ri;81;
300;Alphatec Engenharia e Inspeçao S/A - Industrial;814;1687
49;Ambicontrol Serviços e Representantes Ltda;0;
51;Apliquim Equipamentos e Produtos;0;
348;Arcoenge Ltda;0;
3;Aterro Sanitario Munic. de Macae;0;
64;Azevedo e Marques Ltda - ME  - Limpa Fossa;0;
75;B.J. Services do Brasil Ltda;9;
395;Baker Hughes Centrilift;11;
314;Baker Hughes do Brasil Ltda  - NS 09;84;
301;Baker Hughes do Brasil Ltda  - NS 17;121;
218;Baker Hughes do Brasil Ltda  - NS 18;35;
124;Baker Hughes do Brasil Ltda - Atlas;18;
38;Baker Hughes do Brasil Ltda - BOT;251;
117;Baker Hughes do Brasil Ltda - Inteq Die;289;
394;Baker Hughes do Brasil Ltda - NS 23;63;
219;Baker Hughes do Brasil Ltda - P-09;26;
220;Baker Hughes do Brasil Ltda - P-10;106;
287;Baker Hughes do Brasil Ltda - P-16;115;
288;Baker Hughes do Brasil Ltda - P-17;15;
255;Baker Hughes do Brasil Ltda - PCH 1;125;
221;Baker Hughes do Brasil Ltda - PCH 2;96;
240;Baker Hughes do Brasil Ltda - PCP 1;11;
315;Baker Hughes do Brasil Ltda - PCP 2;4;
107;Baker Hughes do Brasil Ltda - Petrolit;14;
362;Baker Hughes do Brasil Ltda - PNA 1;10;
222;Baker Hughes do Brasil Ltda - PNA 2;105;
358;Baker Hughes do Brasil Ltda - PPG1;2;
223;Baker Hughes do Brasil Ltda - PPM 1;102;
289;Baker Hughes do Brasil Ltda - PVM 3;9;
400;Baker Hughes do Brasil Ltda - SC77(BARRA DO FURADO;30;
415;Baker Hughes do Brasil Ltda - SPT60;3;
242;Baker Hughes do Brasil Ltda - SS 45;9;
228;Baker Hughes do Brasil Ltda - SS 50;48;
224;Baker Hughes do Brasil Ltda - SS 55;101;
